Designer,FilePageURL
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Television_set%2C_Model_T_54%2C_designed_by_Raymond_Loewy%2C_The_Hallicrafters%2C_USA%2C_1948%2C_case_made_from_lacquered_iron_sheet_-_Museum_für_Angewandte_Kunst_Köln_-_Cologne%2C_Germany_-_DSC09654.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:Thermos_flask%2C_Model_3750%2C_designed_by_Raymond_Loewy%2C_American_Thermos_Bottle_Corporation%2C_1937%2C_chrome-plated_brass%2C_aluminum%2C_bakelite_-_Museum_für_Angewandte_Kunst_Köln_-_Cologne%2C_Germany_-_DSC09512.jpg
Raymond Loewy,https://commons.wikimedia.org/wiki/File:US_Patent_US2563917A_Double-deck_coach_by_O.S._Ceasar_and_Raymond_Loewy.png
Raymond Loewy,https://commons.wikimedia.org/wiki/File:World_Book_Encyclopedia_advertisement_with_Raymond_Loewy.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Bell_telephone_magazine_(1922)_(14569849308).jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Bankers_Trust_Building_280_Park_Avenue.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Bell_telephone_magazine_(1922)_(14756479025).jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Dreyfuss-henry-thermostat-design.ogv
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Dreyfuss.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Henry_dreyfuss_per_western_electric_manufacturing_co.%2C_telefono_modlelo_302%2C_1937_ca.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Henry_Dreyfuss_Symbol_Sourcebook.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Henry_Dreyfuss.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Hudson_locomotive_for_the_New_York_Central.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:John_Deere_Model_A_late_style.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:John_Deere_model_B_tractor%2C_Agricultural_and_Industrial_Museum_York.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:New_York_Central_20th_Century_Limited_1938.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:New_York_Central_Sleek_Locomotive_(282369641).jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:New_York_Central_Twentieth_Century_Limited_steam_locomotive_5453_nose.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:NYC_Hudson2.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Smoking_and_drink_stand%2C_by_Henry_Dreyfuss%2C_c._1938%2C_chromium-plated_steel%2C_aluminum%2C_painted_cast_iron_-_Montreal_Museum_of_Fine_Arts_-_Montreal%2C_Canada_-DSC09058.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:SS_Stevens_okubo_mediterranean_mural_01.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Telephone%2C_Model_102%2C_designed_by_Henry_Dreyfuss%2C_Western_Electric_Company%2C_New_York_City%2C_1928%2C_Bakelite_case%2C_metal_-_Museum_für_Angewandte_Kunst_Köln_-_Cologne%2C_Germany_-_DSC09623.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Test_run_of_streamlined_20th_Century_Limited_1938.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:TrimlineExposed.jpg
Henry Dreyfuss,https://commons.wikimedia.org/wiki/File:Westclox_Big_Ben.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Com_L19-0188-0203A.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:1955_Foto-HansGConrad_HfGUlm_Architekt-MaxBill.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:1959_-_Kunsthalle_Basel_-_4_Bildhauer.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Bauhaus_Archiv_Berlin_Max_Bill.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Bochum_Kunstmuseum_070127_33.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Cinevox._Neuhausen_am_Rheinfall.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Construction%2C_1937_Max_Bill_1908-1994_DSC08880_(48881830008).jpg
Max Bill,https://commons.wikimedia.org/wiki/File:HfG_Ulm_Main_Entrance_photo_by_Christian_Gänshirt.JPG
Max Bill,https://commons.wikimedia.org/wiki/File:Hochschule_für_Gestaltung_Ulm_07.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Hochschule_für_Gestaltung_Ulm_08.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Hochschule_für_Gestaltung_Ulm_09.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Hochschule_für_Gestaltung_Ulm_10.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Hochschule_für_Gestaltung_Ulm_11.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Hochschule_für_Gestaltung_Ulm.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Junghans_Küchenuhr.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Junghans_Max_Bill_Automatik.JPG
Max Bill,https://commons.wikimedia.org/wiki/File:Junghans_Max_Bill_Uhr.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Junghans-max-bill.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Künstler_helfen_Kunstturner_Com_L19-0101-0126.tif
Max Bill,https://commons.wikimedia.org/wiki/File:Künstler_helfen_Kunstturner_Com_L19-0101-0131_(cropped).tif
Max Bill,https://commons.wikimedia.org/wiki/File:Künstler_helfen_Kunstturner_Com_L19-0101-0131.tif
Max Bill,https://commons.wikimedia.org/wiki/File:Marl_Bill_01.JPG
Max Bill,https://commons.wikimedia.org/wiki/File:Max_Bill_Junghans.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Max_Bill_überwacht_die_Installation_eines_der_Wandbilder-HSGH_022-001531-03.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Max_Bill%2C_sem_data.tif
Max Bill,https://commons.wikimedia.org/wiki/File:Max_Bill-_Tamboret_HFG_Ulm-1954-Vitra_Facsimil-dhub.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Max-bill_junghans_retouched.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Max-bill_junghans.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Maxbillptz.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Oerlikon_-_Schweizer_Radio_DRS_-_Brunnenhofweg_2011-08-17_14-26-24_ShiftN.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Oerlikon_-_Schweizer_Radio_DRS_2011-08-17_14-23-42_ShiftN.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Oerlikon_-_Schweizer_Radio_DRS_2011-08-17_14-24-50.JPG
Max Bill,https://commons.wikimedia.org/wiki/File:Oerlikon_-_Schweizer_Radio_DRS_2011-08-17_14-26-36.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Oerlikon_-_Schweizer_Radio_DRS_2011-08-17_14-28-16.JPG
Max Bill,https://commons.wikimedia.org/wiki/File:Progression_in_6_stages_de_Max_Bill.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Schweizer_Radio_DRS_-_Studio_Zürich_2011-08-17_14-21-38_ShiftN.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Theatre-de-vidy.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Ulmer-hocker-hfg-ulm-max-bill.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Ulmer-hocker.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:UNESCO_History%2C_Architects_Richard_Buckminster_Fuller_and_Max_Bill_-_UNESCO_-_PHOTO0000002720_0000.tiff
Max Bill,https://commons.wikimedia.org/wiki/File:UNESCO_History%2C_Architects_Richard_Buckminster_Fuller_and_Max_Bill_-_UNESCO_-_PHOTO0000002720_0001.tiff
Max Bill,https://commons.wikimedia.org/wiki/File:Wedding_Kurt-Schumacher-Damm_Berlin_dankt_Frankreich.jpg
Max Bill,https://commons.wikimedia.org/wiki/File:Wollishofen_Max_Bill_1930.JPG
Dieter Rams,https://commons.wikimedia.org/wiki/File:Designer-Dieter_Rams.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:002_2020_04_21_Uhren_fuer_den_Innenbereich.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:1952_Dieter_Rams_Chair_from_Studienarbeit_drawing_(resized).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:1952_Dieter_Rams_Chair_from_Studienarbeit_drawing.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:1961_Braun_D40_Frankfurt_2024-03.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_ABW30_(schwarz).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_audio_310.jpeg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_D40_Rodenstock_Splendar.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_Dieter_Rams_Lighter_Austin_Calhoon_Photograph.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_portable_radios_and_turntable_at_the_SFMOMA_(6098612783).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_regie_510.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_SK_4.1.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_SK_5.png
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_SK_55_(red).png
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_SK_55.png
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_SK_6.png
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_T580_resized.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_TG_1000_tape_recorder_at_the_SFMOMA_(6099160894).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun_TS_45%2C_TG_60%2C_L_450.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun-L1.png
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun-Sk61.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun-t4-transistor-radio-design-dieter-rams-only-once-shop-4.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Braun-transistor.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Bundesarchiv_B_145_Bild-P089472%2C_Verleihung_des_Berliner_Kunstpreises.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Cassette_recorder%2C_Dieter_Rams_(6098613465).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Design_innovation_(6099160776).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Dieter_Rams_-_Satztischprogramm_010.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Dieter_Rams_erhält_iF_Design_Lifetime_Achievement_Award_2024.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Dieter_Rams_i_Dieter_Lubs-_Calculator_Braun_ET66-1987.dhub.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Dieter-rams-boston2005-001.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:DieterRamsTP1Perspective.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Functional_arts_(6098612917).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:IF_Achievement_Award_2024_Dieter_Rams.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Pinakothek_der_Moderne._Braun_Reel_to_Reel_(6786758036).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Pinakothek_der_Moderne._Braun_Reel_to_Reel_(6786759454).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Pinakothek_der_Moderne._Braun_Reel_to_Reel_(6932873189).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Pinakothek_der_Moderne._Braun_Reel_to_Reel_(6932874829).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Projector_(6098612817).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Radio_(6099160686).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:RadioT3-4-41.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Station_finder_(6098613375).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Studioblitz-Anlage_F_1000.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Tonarmwaage-Rams-01.gif
Dieter Rams,https://commons.wikimedia.org/wiki/File:Tonarmwaage-Rams-01.jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Turntable%2C_Dieter_Rams_(6098613405).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Turntable%2C_Dieter_Rams_(6099161422).jpg
Dieter Rams,https://commons.wikimedia.org/wiki/File:Turntable%2C_Dieter_Rams_(6099161448).jpg
Ettore Sottsass,https://commons.wikimedia.org/wiki/File:Ettore_Sottsass_1969.jpg
Ettore Sottsass,https://commons.wikimedia.org/wiki/File:Designers_of_"MAN_TRANSFORMS"_Exhibit_at_C-H_Museum.jpg
Ettore Sottsass,https://commons.wikimedia.org/wiki/File:Ettore_Sottsass_and_Fernanda_Pivano_1969.jpg
Ettore Sottsass,https://commons.wikimedia.org/wiki/File:Fontana_in_Tonalite_dell'Adamello_by_Ettore_Sottsass.jpg
Ettore Sottsass,https://commons.wikimedia.org/wiki/File:Fontana_in_Tonalite_dell'Adamello.jpg
Ettore Sottsass,https://commons.wikimedia.org/wiki/File:Il_giornalista_Lillo_Gullo_intervista_l’architetto_e_designer_Ettore_Sottsass.jpg
Ettore Sottsass,https://commons.wikimedia.org/wiki/File:Maruceli_Sottsass_1949.jpg
