Designer,Work,Type,Status,SourceURL,LocalPath,Notes
Peter Behrens,Behrens kiss.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/31/Behrens_kiss.jpg,D:\history of id course\images\_extras\behrens\Behrens_kiss.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Marianne Brandt,Marianne Brandt, photo by Falk, c1886 (Newberry Library, Westervelt Coll).jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/7/79/Marianne_Brandt%2C_photo_by_Falk%2C_c1886_%28Newberry_Library%2C_Westervelt_Coll%29.jpg,D:\history of id course\images\_extras\brandt\Marianne_Brandt__photo_by_Falk__c1886__Newberry_Library__Westervelt_Coll_.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Reichstag Giebel2.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/5/5b/Reichstag_Giebel2.jpg,D:\history of id course\images\_extras\behrens\Reichstag_Giebel2.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Dem Deutschen Volke - geo.hlipp.de - 1785.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/b/b8/Dem_Deutschen_Volke_-_geo.hlipp.de_-_1785.jpg,D:\history of id course\images\_extras\behrens\Dem_Deutschen_Volke_-_geo.hlipp.de_-_1785.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,BSM Lok 15 IMG 1039.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/a/a0/BSM_Lok_15_IMG_1039.jpg,D:\history of id course\images\_extras\behrens\BSM_Lok_15_IMG_1039.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
George Nelson,nelson_action_office,Target,NotFound,,images/nelson/nelson_action_office.jpg,No match in category
George Nelson,nelson_ball_clock,Target,NotFound,,images/nelson/nelson_ball_clock.jpg,No match in category
George Nelson,nelson_bubble_lamp,Target,NotFound,,images/nelson/nelson_bubble_lamp.jpg,No match in category
George Nelson,nelson_coconut_chair,Target,NotFound,,images/nelson/nelson_coconut_chair.jpg,No match in category
George Nelson,nelson_marshmallow_sofa,Target,NotFound,,images/nelson/nelson_marshmallow_sofa.jpg,No match in category
George Nelson,nelson_platform_bench,Target,NotFound,,images/nelson/nelson_platform_bench.jpg,No match in category
George Nelson,nelson_portrait,Target,NotFound,,images/nelson/nelson_portrait.jpg,No match in category
Peter Behrens,CH-000957-X-10397 Behrens.tif,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/36/CH-000957-X-10397_Behrens.tif,D:\history of id course\images\_extras\behrens\CH-000957-X-10397_Behrens.tif,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
George Nelson,nelson_sling_sofa,Target,NotFound,,images/nelson/nelson_sling_sofa.jpg,No match in category
George Nelson,nelson_swag_leg_desk,Target,NotFound,,images/nelson/nelson_swag_leg_desk.jpg,No match in category
Peter Behrens,Cover Die Kunst Peter Behrens 1902.png,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/d/d4/Cover_Die_Kunst_Peter_Behrens_1902.png,D:\history of id course\images\_extras\behrens\Cover_Die_Kunst_Peter_Behrens_1902.png,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
George Nelson,"Ball" Wall Clock, 1948-1969.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/0/00/%22Ball%22_Wall_Clock%2C_1948-1969.jpg,D:\history of id course\images\_extras\nelson\_Ball__Wall_Clock__1948-1969.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Der Architekt (IA derarchitekt00sche).pdf,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/f/fd/Der_Architekt_%28IA_derarchitekt00sche%29.pdf,D:\history of id course\images\_extras\behrens\Der_Architekt__IA_derarchitekt00sche_.pdf,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
George Nelson,Bubble lamp - George Nelson.jpg,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bubble_lamp_-_George_Nelson.jpg,D:\history of id course\images\_extras\nelson\Bubble_lamp_-_George_Nelson.jpg,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
Peter Behrens,Feste des Lebens und der Kunst - eine Betrachtung des Theaters als hochstein Kultursymbols (IA festedeslebensun00behr).pdf,Extra,Failed,https://upload.wikimedia.org/wikipedia/commons/3/3b/Feste_des_Lebens_und_der_Kunst_-_eine_Betrachtung_des_Theaters_als_hochstein_Kultursymbols_%28IA_festedeslebensun00behr%29.pdf,D:\history of id course\images\_extras\behrens\Feste_des_Lebens_und_der_Kunst_-_eine_Betrachtung_des_Theaters_als_hochstein_Kultursymbols__IA_festedeslebensun00behr_.pdf,Please honor our robot policy https://w.wiki/4wJS. (135ee38)
